host,open_ports,vuln_score,critical_vulns,service_http_open,service_ssh_open,service_rdp_open,snort_alert,device_type,geo_location_risk,avg_packet_size,scan_hour,label
host_1,52,5.67,3,0,0,0,0,server,0,294.78,11,1
host_2,93,9.28,1,0,0,0,0,IoT,0,303.16,1,1
host_3,15,0.55,2,0,0,0,0,server,0,323.01,7,0
host_4,72,4.22,1,0,0,1,1,IoT,1,260.85,6,1
host_5,61,7.08,1,0,0,0,0,server,0,290.59,8,1
host_6,21,4.63,2,1,0,0,1,endpoint,0,335.08,8,1
host_7,83,8.06,0,0,0,0,0,endpoint,0,260.04,4,1
host_8,87,1.8,1,0,0,1,0,router,0,386.54,14,0
host_9,75,9.6,2,1,1,0,0,endpoint,1,285.96,21,1
host_10,75,3.85,0,1,0,0,0,server,0,274.76,15,0
host_11,88,3.42,0,1,0,0,0,router,0,402.13,22,0
host_12,24,8.75,1,0,0,0,0,server,0,284.62,11,1
host_13,3,5.64,2,1,1,0,0,server,0,336.93,17,0
host_14,22,5.16,0,0,0,0,0,endpoint,0,242.76,20,0
host_15,53,7.27,2,0,0,0,0,endpoint,0,300.24,21,1
host_16,2,5.8,1,1,0,0,0,endpoint,0,310.82,14,0
host_17,88,1.63,1,0,0,0,0,router,0,344.19,18,0
host_18,30,6.74,2,1,1,0,0,server,1,334.82,13,1
host_19,38,1.33,1,0,0,0,0,IoT,1,248.11,1,1
host_20,2,8.06,0,0,0,1,0,IoT,0,411.15,10,1
host_21,64,9.9,1,0,0,0,0,endpoint,0,315.25,15,1
host_22,60,3.77,0,1,0,0,0,endpoint,0,359.42,8,0
host_23,21,4.45,2,0,1,0,0,endpoint,0,215.4,1,0
host_24,33,0.46,1,0,0,0,0,endpoint,0,316.6,1,0
host_25,76,0.14,1,0,0,0,0,router,0,264.61,1,0
host_26,58,9.21,3,1,0,1,0,endpoint,1,311.57,6,1
host_27,22,1.29,2,1,0,0,1,router,0,325.34,1,1
host_28,89,4.46,1,0,0,0,0,server,0,293.77,10,0
host_29,49,8.15,3,0,0,0,0,endpoint,0,352.89,14,1
host_30,91,8.89,1,0,0,0,0,endpoint,0,299.13,23,1
host_31,59,5.19,0,1,1,0,0,router,0,271.58,5,0
host_32,42,5.65,2,1,0,0,1,server,0,310.33,20,1
host_33,92,6.7,1,1,0,0,0,server,0,324.17,22,0
host_34,60,9.61,1,0,0,0,0,endpoint,0,331.05,3,1
host_35,80,6.03,0,1,0,0,0,IoT,0,315.37,23,0
host_36,15,5.59,0,0,0,0,0,router,0,345.11,14,0
host_37,62,0.15,2,0,0,0,0,router,0,335.04,14,0
host_38,62,0.81,1,0,1,0,0,endpoint,0,290.1,16,0
