host,open_ports,vuln_score,critical_vulns,service_http_open,service_ssh_open,service_rdp_open,snort_alert,device_type,geo_location_risk,avg_packet_size,scan_hour,label,device_type_encoded,predicted_label
host_1,52,5.67,3,0,0,0,0,server,0,294.78,11,1,3,1
host_2,93,9.28,1,0,0,0,0,IoT,0,303.16,1,1,0,1
host_4,72,4.22,1,0,0,1,1,IoT,1,260.85,6,1,0,1
host_5,61,7.08,1,0,0,0,0,server,0,290.59,8,1,3,1
host_6,21,4.63,2,1,0,0,1,endpoint,0,335.08,8,1,1,1
host_7,83,8.06,0,0,0,0,0,endpoint,0,260.04,4,1,1,1
host_9,75,9.6,2,1,1,0,0,endpoint,1,285.96,21,1,1,1
host_12,24,8.75,1,0,0,0,0,server,0,284.62,11,1,3,1
host_15,53,7.27,2,0,0,0,0,endpoint,0,300.24,21,1,1,1
host_18,30,6.74,2,1,1,0,0,server,1,334.82,13,1,3,1
host_19,38,1.33,1,0,0,0,0,IoT,1,248.11,1,1,0,1
host_20,2,8.06,0,0,0,1,0,IoT,0,411.15,10,1,0,1
host_21,64,9.9,1,0,0,0,0,endpoint,0,315.25,15,1,1,1
host_26,58,9.21,3,1,0,1,0,endpoint,1,311.57,6,1,1,1
host_27,22,1.29,2,1,0,0,1,router,0,325.34,1,1,2,1
host_29,49,8.15,3,0,0,0,0,endpoint,0,352.89,14,1,1,1
host_30,91,8.89,1,0,0,0,0,endpoint,0,299.13,23,1,1,1
host_32,42,5.65,2,1,0,0,1,server,0,310.33,20,1,3,1
host_34,60,9.61,1,0,0,0,0,endpoint,0,331.05,3,1,1,1
host_39,47,5.77,2,0,0,0,1,endpoint,0,271.54,15,1,1,1
host_40,62,9.36,1,0,0,0,0,endpoint,0,259.78,2,1,1,1
host_41,51,8.67,2,0,0,0,1,endpoint,0,266.23,1,1,1,1
host_42,55,9.83,1,0,0,0,1,server,0,332.67,6,1,3,1
host_44,3,7.88,2,0,1,0,0,server,0,292.31,18,1,3,1
host_45,51,8.4,3,0,0,0,0,IoT,0,229.19,6,1,0,1
host_46,7,6.48,2,1,0,0,0,router,1,383.14,8,1,2,1
host_48,73,4.7,4,1,1,0,0,server,0,223.41,15,1,3,1
host_49,39,8.58,0,0,0,0,0,server,1,232.76,22,1,3,1
host_51,4,9.24,2,0,0,0,0,endpoint,0,311.2,8,1,1,1
host_52,89,2.3,2,0,0,0,1,IoT,0,288.94,20,1,0,1
host_53,60,7.5,0,0,0,0,0,endpoint,0,408.4,9,1,1,1
host_54,14,6.31,3,1,0,0,1,router,0,276.84,2,1,2,1
host_55,9,7.5,2,0,0,0,1,server,0,386.49,10,1,3,1
host_57,53,9.33,0,0,0,0,0,endpoint,0,255.88,21,1,1,1
host_62,71,2.94,3,1,0,1,0,IoT,0,285.45,12,1,0,1
host_64,8,8.52,2,0,0,0,0,endpoint,0,280.87,21,1,1,1
host_68,81,2.64,4,1,0,1,0,endpoint,0,326.33,9,1,1,1
